typeID,groupID,typeName
0,0,#System
2,2,Corporation
3,3,Region
4,4,Constellation
5,5,Solar System
6,6,Sun G5 (Yellow)
7,6,Sun K7 (Orange)
8,6,Sun K5 (Red Giant)
9,6,Sun B0 (Blue)
10,6,Sun F0 (White)
11,7,Planet (Temperate)
12,7,Planet (Ice)
13,7,Planet (Gas)
14,8,Moon
15,9,Asteroid Belt
16,10,Stargate (Caldari System)
17,10,Stargate (Amarr Constellation)
18,458,Plagioclase
19,461,Spodumain
20,457,Kernite
21,454,Hedbergite
22,450,Arkonor
23,12,Cargo Container
24,13,Ring
25,14,Corpse Male
26,16,Office Folder
27,16,Office
28,16,Factory Folder
29,17,Credits
30,19,Faction
34,18,Tritanium
35,18,Pyerite
36,18,Mexallon
37,18,Isogen
38,18,Nocxium
39,18,Zydrine
40,18,Megacyte
41,280,Garbage
42,280,Spiced Wine
43,280,Antibiotics
44,1034,Enriched Uranium
45,281,Frozen Plant Seeds
49,24,Player Kill
50,24,Company Shares
51,24,Bookmark
52,94,Trading
53,95,Trade Session
54,15,Caldari Logistics Station
56,15,Gallente Military Station
57,15,Gallente Station Hub 
58,15,C-O-1
59,15,C-O-2
60,1319,Asset Safety Wrap
164,23,Clone Grade Alpha
165,23,Clone Grade Beta
166,23,Clone Grade Gamma
178,83,Carbonized Lead S
179,83,Nuclear S
180,83,Proton S
181,83,Depleted Uranium S
182,83,Titanium Sabot S
183,83,Fusion S
184,83,Phased Plasma S
185,83,EMP S
186,83,Carbonized Lead M
187,83,Nuclear M
188,83,Proton M
189,83,Depleted Uranium M
190,83,Titanium Sabot M
191,83,Fusion M
192,83,Phased Plasma M
193,83,EMP M
194,83,Carbonized Lead L
195,83,Nuclear L
196,83,Proton L
197,83,Depleted Uranium L
198,83,Titanium Sabot L
199,83,Fusion L
200,83,Phased Plasma L
201,83,EMP L
202,386,Mjolnir Cruise Missile
203,386,Scourge Cruise Missile
204,386,Inferno Cruise Missile
205,386,Nova Cruise Missile
206,385,Nova Heavy Missile
207,385,Mjolnir Heavy Missile
208,385,Inferno Heavy Missile
209,385,Scourge Heavy Missile
210,384,Scourge Light Missile
211,384,Inferno Light Missile
212,384,Mjolnir Light Missile
213,384,Nova Light Missile
215,85,Iron Charge S
216,85,Tungsten Charge S
217,85,Iridium Charge S
218,85,Lead Charge S
219,85,Thorium Charge S
220,85,Uranium Charge S
221,85,Plutonium Charge S
222,85,Antimatter Charge S
223,85,Iron Charge M
224,85,Tungsten Charge M
225,85,Iridium Charge M
226,85,Lead Charge M
227,85,Thorium Charge M
228,85,Uranium Charge M
229,85,Plutonium Charge M
230,85,Antimatter Charge M
231,85,Iron Charge L
232,85,Tungsten Charge L
233,85,Iridium Charge L
234,85,Lead Charge L
235,85,Thorium Charge L
236,85,Uranium Charge L
237,85,Plutonium Charge L
238,85,Antimatter Charge L
239,86,Radio S
240,86,Microwave S
241,86,Infrared S
242,86,Standard S
243,86,Ultraviolet S
244,86,Xray S
245,86,Gamma S
246,86,Multifrequency S
247,86,Radio M
248,86,Microwave M
249,86,Infrared M
250,86,Standard M
251,86,Ultraviolet M
252,86,Xray M
253,86,Gamma M
254,86,Multifrequency M
255,86,Radio L
256,86,Microwave L
257,86,Infrared L
258,86,Standard L
259,86,Ultraviolet L
260,86,Xray L
261,86,Gamma L
262,86,Multifrequency L
263,87,Cap Booster 25
264,87,Cap Booster 50
265,1158,Heavy Defender Missile I
266,387,Scourge Rocket
267,89,Scourge Torpedo
269,394,Mjolnir Auto-Targeting Light Missile I
270,92,Python Mine
377,38,Small Shield Extender I
380,38,Small Shield Extender II
393,39,Shield Recharger I
394,39,Shield Recharger II
399,40,Small Shield Booster I
400,40,Small Shield Booster II
405,41,'Micro' Remote Shield Booster
406,41,Micro Remote Shield Booster II
421,43,'Basic' Capacitor Recharger
434,46,5MN Microwarpdrive I
438,46,1MN Afterburner II
439,46,1MN Afterburner I
440,46,5MN Microwarpdrive II
442,47,Cargo Scanner I
443,48,Ship Scanner I
444,49,Survey Scanner I
447,52,Warp Scrambler I
448,52,Warp Scrambler II
450,53,Gatling Pulse Laser I
451,53,Dual Light Pulse Laser I
452,53,Dual Light Beam Laser I
453,53,Small Focused Pulse Laser I
